"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
0.284800799937034,0.121872786390247,0.725,0.608,1,"ATP5B",0,"NS"
0.284830069325832,0.139833608593138,0.143,0.114,1,"KLHL12",0,"NS"
0.28512696572699,-0.135039210061586,0.43,0.343,1,"GPBP1L1",0,"NS"
0.286049749606967,-0.400490112321371,0.223,0.244,1,"GLOD4",0,"NS"
0.286280373991956,-0.0605547448785643,0.373,0.306,1,"CCT4",0,"NS"
0.286556438868811,-0.116434969866537,0.12,0.093,1,"ZFY",0,"NS"
0.287003083948071,0.050588286040458,0.958,0.815,1,"LOC100289019",0,"NS"
0.287036764308219,0.00189793465700877,0.404,0.34,1,"SMC3",0,"NS"
0.287180107374893,-0.0204255143804709,0.284,0.225,1,"CCDC12",0,"NS"
0.287398411951883,-0.0586244795139896,0.16,0.127,1,"RIOK1",0,"NS"
0.287620907227888,-0.267458000069751,0.425,0.42,1,"ANXA11",0,"NS"
0.287715164267794,-0.147810815353682,0.608,0.59,1,"CCND3",0,"NS"
0.287758426864619,0.0234918302807816,0.974,0.892,1,"TRPM7",0,"NS"
0.289031736120915,0.0559986851757895,0.155,0.123,1,"NSMCE4A",0,"NS"
0.289049378054394,-0.254637541105811,0.305,0.33,1,"NDUFA6",0,"NS"
0.28905330395842,-0.211360064700447,0.312,0.25,1,"ADD1",0,"NS"
0.289314025481346,-0.00724909548242814,0.371,0.312,1,"NELL2",0,"NS"
0.289367048634599,0.206736069373932,0.101,0.077,1,"RCL1",0,"NS"
0.289769245166349,-0.0388720281064653,0.366,0.309,1,"RIF1",0,"NS"
0.289799317496487,-0.293707592537283,0.249,0.269,1,"TMEM9B",0,"NS"
0.289847010797581,-0.288338734474507,0.826,0.586,1,"THAP5",0,"NS"
0.289924811524118,0.04022878166635,0.305,0.253,1,"OSTF1",0,"NS"
0.289977176392519,-0.115705288933301,0.282,0.231,1,"FAM160B1",0,"NS"
0.290018124492851,0.113320033948497,0.113,0.086,1,"RNF146",0,"NS"
0.290024706078333,0.0907574310776034,0.953,0.849,1,"DDX17",0,"NS"
0.290055134122588,-0.0626459240651482,0.216,0.176,1,"IFFO1",0,"NS"
0.290180939549202,0.293883612562959,0.131,0.105,1,"LYSMD3",0,"NS"
0.290307262063643,-0.161932477808908,0.106,0.08,1,"CTNNAL1",0,"NS"
0.290313190276318,0.157640536016591,0.209,0.176,1,"COPS8",0,"NS"
0.290908338388525,-0.0834960424369885,0.413,0.33,1,"USP10",0,"NS"
0.291288237736784,-0.21212784182403,0.322,0.256,1,"GGA3",0,"NS"
0.29138634332769,0.162803243951738,0.286,0.244,1,"EMC4",0,"NS"
0.291886278469795,-0.344060436541096,0.129,0.099,1,"THUMPD2",0,"NS"
0.292175518577283,-0.587494889401729,0.148,0.17,1,"JMJD4",0,"NS"
0.292504788456547,0.00861965571923096,0.42,0.355,1,"HGS",0,"NS"
0.292621527132153,-0.104353573526013,0.162,0.13,1,"TMEM63A",0,"NS"
0.293158270385729,0.010237796111667,0.272,0.228,1,"BNIP3L",0,"NS"
0.293188591163198,-0.371203435387181,0.153,0.117,1,"GUSBP9",0,"NS"
