"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AURKAIP1",0.226116692033761,10.4853957928108,1.90577544413015,0.0579517918484267,0.116430418168203,-5.13331869357588
"TRBV16",-0.352447092537844,6.27653052974772,-1.90568269633269,0.0579638961924017,0.116436795940953,-5.13349173566806
"TREX1",-0.215561614696561,8.81904181820643,-1.90536817543318,0.058004959483811,0.116501334982965,-5.13407848518234
"MLLT11",0.328008325307817,9.32776828687326,1.90523406140448,0.0580224765731817,0.116518569542233,-5.134328650988
"UQCRQ",0.260696590172211,11.2805043979234,1.90513190534397,0.0580358224926546,0.116527423695985,-5.13451919346585
"TMEM33",0.281431467455347,8.36234420545488,1.90469146109247,0.0580933926215414,0.116625057181259,-5.13534060112589
"DERL2",0.248315612312233,8.43378142430684,1.9045510766717,0.0581117521974109,0.116643955803885,-5.13560237278136
"IL6ST",-0.264760539139724,8.94277806020407,-1.90443622091473,0.0581267767257213,0.116656155414296,-5.13581652782309
"ADAM21",0.211064106820395,6.81697205500003,1.90388626377366,0.0581987628343177,0.11678265136914,-5.13684178070028
"LAMA1",0.356180828924992,5.37344987291525,1.90306304905369,0.0583066560586716,0.116944572745104,-5.13837591599469
"ERCC3",0.172669618993958,8.14881470411724,1.90299818662918,0.0583151642455084,0.116944572745104,-5.13849676570836
"KARS1",0.166997391934238,11.4261611412456,1.90296970418573,0.0583189006958546,0.116944572745104,-5.13854983207824
"ELOC",0.225898034708786,9.61300314062595,1.90295797414845,0.0583204395511745,0.116944572745104,-5.1385716863876
"PPM1E",0.411655253094525,5.85289813717305,1.90292854355388,0.0583243006796084,0.116944572745104,-5.13862651814723
"ZC3HAV1",-0.204800995597786,8.63033425629766,-1.90281649261704,0.0583390030885049,0.116956067231091,-5.13883527128383
"KATNIP",0.197395496126324,8.93295589850107,1.9022483896381,0.0584135926214113,0.117087599414386,-5.13989347538172
"KIAA1614",-0.331235632609458,5.22362211680771,-1.90187488923773,0.0584626750894354,0.117167971179088,-5.14058902703905
"LRRC19",-0.472718699359139,4.52351822313567,-1.9013656388516,0.0585296523044286,0.117284176486468,-5.14153716625406
"KDM4A",-0.139402267056203,8.34270747134869,-1.90043530374574,0.0586521767389593,0.117511636831483,-5.14326866018516
"PRINS",-0.262625513510625,7.62407512579258,-1.90001877131309,0.0587071031980598,0.117603613243125,-5.14404362396284
"CPLX2",0.40157769382039,4.63592798790536,1.899851869831,0.0587291238892017,0.117616057863528,-5.14435410009566
"PGM1",-0.333107913198432,10.4130044765362,-1.89983495382379,0.0587313561430654,0.117616057863528,-5.14438556638616
"NUMB",-0.154397993371733,7.40095154445102,-1.89922669134609,0.0588116702290271,0.117742220221085,-5.14551684486391
"RAB6C",-0.229427175519882,10.3270300767788,-1.89922105339107,0.0588124150855071,0.117742220221085,-5.14552732898802
"GATB",0.263752413670346,8.2485967836246,1.89894774700566,0.0588485323210706,0.117796440425919,-5.14603552288506
"PIP5K1B",-0.215425430957085,7.04414209432,-1.89863714943666,0.0588896000615383,0.117860551834597,-5.14661297113785
"BTBD1",0.247331778751263,10.0458666019582,1.89758915052083,0.0590283450611126,0.118120103015937,-5.14856068606726
"IRAK1",0.24408829659958,10.720142537868,1.89727750306534,0.0590696568484366,0.118174201409459,-5.1491396846663
"PDE12",0.345715153758644,6.70967365318086,1.8972484751192,0.0590735060040533,0.118174201409459,-5.14919360995568
"ZNF460",0.244299552053816,6.03059664382703,1.89709401185995,0.0590939916230938,0.118197048132155,-5.14948054330989
"UFD1",0.213834459630716,10.0687955762091,1.89675741444218,0.0591386532637433,0.118268236181894,-5.1501057335575
"CELF3",0.274125686227049,5.39854799014734,1.89667081088633,0.0591501488717536,0.118273085590982,-5.1502665721368
"CRKL",-0.152497606095164,8.7651760707149,-1.89648453059577,0.0591748817262771,0.118304397857855,-5.15061250447267
"H2AC17",0.415217866068891,5.43893060444119,1.89535368167251,0.0593252126002656,0.118586761780601,-5.15271184453556
"BCKDHB",-0.27526697101747,6.20667051777052,-1.89514828321085,0.0593525517196301,0.118623225302308,-5.15309302195866
"SLC16A10",-0.406977149601703,6.78965114932351,-1.89399457747952,0.0595063088814241,0.118912300613776,-5.15523331982164
"TMEM50B",-0.254963687451459,8.22509993369091,-1.89364946219821,0.0595523678240708,0.118986105433353,-5.15587331539877
"MLX",0.147877602344376,8.96266711295375,1.89343210078403,0.0595813920672524,0.119025857386993,-5.15627634113021
"SEPTIN7",0.203102356823765,10.6746261511894,1.89325039143579,0.0596056647595697,0.119056106433828,-5.15661322737156
"TAS2R1",0.247056771659053,6.89082013172432,1.8927827040314,0.0596681763164765,0.119162712665115,-5.15748016837912
"PRKG2",0.40679939237109,6.73407026280396,1.89266993667176,0.0596832571011139,0.119174577234521,-5.15768917151367
"FANCG",0.22808598895632,8.59977385020927,1.89246135676291,0.0597111596308553,0.119209028365595,-5.15807572194027
"CCN1",-0.553062984601127,8.60472417575475,-1.89240429121052,0.0597187954048673,0.119209028365595,-5.15818147140832
"IFNA2",-0.475688521807295,3.81625986348072,-1.89216763877299,0.0597504698750844,0.119242525669514,-5.1586199844442
"TDRKH",0.172133743748126,6.61870691538722,1.89214226894191,0.0597538663029837,0.119242525669514,-5.15866699116784
"TAS2R16",0.230135465570185,6.41968801101127,1.89162741261216,0.0598228283814237,0.119361875939615,-5.15962081554703
