"Gene","Module","GS","MM.MEcyan","MM.MEsalmon","MM.MEblue","MM.MEbrown","MM.MEpink","MM.MEyellow","MM.MEmidnightblue","MM.MEblack","MM.MEgreen","MM.MEpurple","MM.MEgrey60","MM.MEturquoise","MM.MEred","MM.MEtan","MM.MEmagenta","MM.MEgreenyellow","MM.MElightcyan","MM.MEgrey"
"NARS1","green",0.138850329897145,-0.0015682674922673,-0.26304325155733,-0.195734170382668,-0.0404903742814807,-0.150411219161637,0.510972754868459,-0.140381517524782,0.394096710742695,0.537355297444248,0.450591689750603,-0.0692814254491776,-0.543880080948018,-0.150180306484406,-0.0140069030720091,0.378103072698021,0.409512360285162,0.21759668379422,0.164987557958355
"STARD7","turquoise",0.22142625505436,-0.218122842223645,-0.152085205169602,-0.330641834611661,0.21240300837105,-0.167598560555646,0.0190845352268592,-0.143368973037686,-0.380183230006322,-0.348647767319972,-0.505625655094745,0.455073493657212,0.469456336426614,0.534084513738586,0.538403501964562,-0.0131326178869974,0.318816511323183,0.222325337607882,0.305007522883029
"RPL19","magenta",-0.074404480241542,0.0286350561592452,-0.118537522151363,0.220425028488994,-0.0671436026046155,0.0721291773892981,0.0154783393600235,-0.166721594346287,0.0113988777149561,0.0305876889506886,0.157520748014363,-0.138477606876426,-0.190301428646106,-0.21965614205161,0.00850031188592481,0.629763372471828,0.117690641676035,0.339732275074841,-0.037702641505682
"SLC25A3","lightcyan",0.0188574664869751,-0.42313736754871,-0.65548346160201,-0.195248323426331,-0.291493740448086,-0.449130397795812,0.408941353178374,-0.126296179875635,-0.395894640317199,0.0422855456465808,-0.084851487404326,0.204779198067649,0.0879492128383975,0.302089816556406,0.587833625536658,0.268621708975797,0.457181354004342,0.649245015202608,-0.17075645257023
"RPS11","magenta",-0.0728934272049846,0.198238184147018,-0.136441606024419,0.311695466141919,-0.102498729392773,0.0992247405049694,0.0518065252944865,-0.347251710379944,-0.0349962413191696,0.0271551279774459,0.193022176153704,-0.230174871095133,-0.39193661910602,-0.299134501065404,-0.050488681707545,0.832460550002499,0.226351803856767,0.427101348558744,0.108674738253228
"RPL9","magenta",-0.078167369064489,0.153994019836911,-0.026919977740253,0.270319703272199,-0.0657798265702205,0.164685947750179,0.140491886002649,-0.17126631952279,0.340174570188121,0.323524458499028,0.496247302429284,-0.233555636771365,-0.538624441700963,-0.457108307522682,-0.249364235486663,0.7932222569374,0.167246585943185,0.268614452697939,0.0859434041911655
"DDX5","black",0.0308008657477684,-0.0487236437653773,-0.0488377134702778,0.0824678069048584,0.0355131210923047,0.16884024225759,0.311083034603032,0.103636211378371,0.630585099430841,0.60882660294589,0.711092751195792,-0.242138111422539,-0.618471389381645,-0.481155310387045,-0.329882754594503,0.39148807214292,0.0503978453114319,0.0875272403851774,-0.197364698162435
"RPL6","magenta",-0.1377002388272,-0.097657583683074,-0.0648562937425333,0.204619482178368,-0.310311662278291,-0.0132987152085496,0.146088872710945,0.196892047196853,0.241022325165266,0.349141145977708,0.411458385837466,0.00824453599979666,-0.144966806215145,-0.268456796615726,-0.0814026351100366,0.456578790394474,-0.0415626911954394,0.210033463714201,-0.316403317161685
"CTDNEP1","turquoise",-0.0216761827514649,-0.0525854633839284,0.0466501529008085,0.00177196597841758,-0.0424026594427102,-0.003395929791427,-0.190537676564546,-0.212042586185941,-0.338749306667975,-0.408549547978881,-0.438258410726266,0.0952997263809703,0.391966017615403,0.341940320180208,0.255698047223,0.0965435784999576,0.00774481641849075,0.0644291411643356,0.16981808097951
"RPL10A","magenta",-0.096104354536341,-0.139355313521478,-0.190202086605853,0.21613374752322,-0.271805404326433,-0.0882107655216771,0.103182116872601,-0.0925189459720503,-0.0105405279546451,0.123642138821973,0.214681066737742,0.0926568816263934,-0.191321656773141,-0.189041253350937,0.0765428378663613,0.583892830660596,0.13201320904247,0.417691558584037,-0.151305448942204
"CBX3","yellow",0.265049240288107,-0.0807676617705849,-0.20462410359086,-0.454060543154155,-0.350036573346017,-0.368019106937063,0.748296856532644,0.198660830027009,0.562448025958036,0.812882922672845,0.457117002333601,0.137973253328507,-0.507961811899116,0.0486481310609908,-0.134863034841497,0.181051208766807,0.0747706445274695,-0.10301894110586,-0.095991719420846
"RPL17","magenta",-0.114697442304091,0.014920938321691,0.0596537751683897,0.132020258887208,-0.254040666305317,0.0111831010449982,0.235214304605765,0.236083587429581,0.583450122374935,0.579282113188809,0.612486881567723,-0.0292626728281075,-0.356546057652757,-0.381014352338644,-0.290032037041459,0.485023713756575,-0.057174462813298,0.0263112463331486,-0.168805706998299
"PSMB2","red",0.263265513593224,-0.348833718795489,-0.72255012765094,-0.442065521249631,-0.0010438243639031,-0.375945665709203,0.525445022950583,-0.29361341834217,-0.431476300633044,0.00855902897448602,-0.194183937561619,0.231351216600701,-0.000643927993531062,0.424464102055395,0.680093885129278,0.143472610103705,0.632623625284848,0.596035778650512,0.0746863372925771
"KHDRBS1","green",0.199813464403221,-0.218643501394366,-0.24845567152557,-0.463051590496951,-0.254406746628062,-0.405076294135533,0.572871018130296,0.542488096287629,0.396492578940583,0.63749490785261,0.333683214830046,0.0890632167363911,-0.060630908547645,0.129681376431158,0.0485444545323366,-0.117042353098433,-0.0114897666738483,-0.0483995431406508,-0.371011714758141
"DDX39B","turquoise",0.0861081158189401,-0.00712182929127241,0.118133139875838,-0.154417300707955,-0.0932340432560554,-0.137131745371631,-0.180324181685363,0.385740240274154,-0.218092366557977,-0.295577832847747,-0.493060778532331,0.424076975751769,0.819804296955155,0.529325156050858,0.32077627326437,-0.30584752604004,-0.171894203952019,-0.213025203272236,-0.0810061611520326
"RTCB","tan",0.060434871722522,-0.343898929864984,-0.264901567656093,-0.0938050544607799,-0.270224877021158,-0.281149539142237,0.159715941640225,0.0117282374160486,-0.312310184939145,-0.0534426863503591,-0.150153682096636,0.377016745391714,0.196920743304183,0.208487207324197,0.42112877125053,0.124027681165169,0.189208089014896,0.456224900692802,-0.137807743885796
"ERH","yellow",0.188977025726308,-0.281424873741737,-0.545821904525823,-0.568634703668953,-0.33834282258274,-0.516072013143328,0.820537201923674,0.0659549230561903,0.17077031709707,0.633615891046528,0.277751162623451,0.208073363372997,-0.360227647481362,0.245699311933508,0.240583413360403,0.0572026772672147,0.367003141740779,0.213951423691219,-0.171141442517063
